Step,Group,Differential Privacy,Accuracy
444,Male,Non-DP,0.8735569
481,Male,Non-DP,0.877405167
518,Male,Non-DP,0.874656372
555,Male,Non-DP,0.877405167
592,Male,Non-DP,0.877405167
629,Male,Non-DP,0.868059387
666,Male,Non-DP,0.870258408
703,Male,Non-DP,0.877405167
740,Male,Non-DP,0.881253433
777,Male,Non-DP,0.879054413
814,Male,Non-DP,0.880153961
851,Male,Non-DP,0.880153961
888,Male,Non-DP,0.881253433
925,Male,Non-DP,0.884551926
962,Male,Non-DP,0.870808105
999,Male,Non-DP,0.877954941
1036,Male,Non-DP,0.88730072
1073,Male,Non-DP,0.875206146
1110,Male,Non-DP,0.875206146
1147,Male,Non-DP,0.8851017
1184,Male,Non-DP,0.889499741
1221,Male,Non-DP,0.890599213
1258,Male,Non-DP,0.882902679
1295,Male,Non-DP,0.878504639
1332,Male,Non-DP,0.876305695
1369,Male,Non-DP,0.883452454
1406,Male,Non-DP,0.880153961
1443,Male,Non-DP,0.869158859
1480,Male,Non-DP,0.883452454
1517,Male,Non-DP,0.865860367
1554,Male,Non-DP,0.880153961
1591,Male,Non-DP,0.875206146
1628,Male,Non-DP,0.875206146
1665,Male,Non-DP,0.875206146
1702,Male,Non-DP,0.884002228
1739,Male,Non-DP,0.882352905
1776,Male,Non-DP,0.88730072
1813,Male,Non-DP,0.886201172
1850,Male,Non-DP,0.884551926
1887,Male,Non-DP,0.877954941
1924,Male,Non-DP,0.882352905
1961,Male,Non-DP,0.868059387
1998,Male,Non-DP,0.87135788
2035,Male,Non-DP,0.870808105
2072,Male,Non-DP,0.8851017
2109,Male,Non-DP,0.8851017
2146,Male,Non-DP,0.876305695
2183,Male,Non-DP,0.877405167
